bar,eq_0.00,eq_0.05,eq_0.10,eq_0.15,eq_0.20,eq_0.25,eq_0.30,eq_0.35,eq_0.40,eq_0.45,eq_0.50,eq_0.55,eq_0.60,eq_0.65,eq_0.70,eq_0.75,eq_0.80,eq_0.85,eq_0.90,eq_0.95,eq_1.00
16,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
20,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
21,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
22,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
23,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
24,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
26,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
27,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
28,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
29,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
30,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
31,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
32,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
33,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
34,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
35,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
36,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
37,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
38,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
40,1.667863,1.667863,1.667863,1.667863,1.667863,1.667863,1.667863,1.667863,1.667863,1.667863,1.667863,1.667863,1.667863,1.667863,1.667863,1.667863,1.667863,1.667863,1.667863,1.667863,1.667863
41,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960
42,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960
43,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960
44,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960
45,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960
46,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960
47,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960
48,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960
49,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960
50,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960
51,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960
52,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960
53,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960
54,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960
55,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960
56,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960
57,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960,3.554960
58,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319
59,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319
60,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319
61,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319
62,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319
63,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319
64,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319,3.670319
65,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124
66,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124,3.949124
67,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401
68,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401
69,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401
70,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401
71,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401
72,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401,5.351401
73,5.351401,5.328522,5.305643,5.282764,5.259886,5.237007,5.214128,5.191250,5.168371,5.145492,5.122613,5.099735,5.076856,5.053977,5.031099,5.008220,4.985341,4.962462,4.939584,4.916705,4.893826
74,5.351401,5.328522,5.305643,5.282764,5.259886,5.237007,5.214128,5.191250,5.168371,5.145492,5.122613,5.099735,5.076856,5.053977,5.031099,5.008220,4.985341,4.962462,4.939584,4.916705,4.893826
75,5.351401,5.328522,5.305643,5.282764,5.259886,5.237007,5.214128,5.191250,5.168371,5.145492,5.122613,5.099735,5.076856,5.053977,5.031099,5.008220,4.985341,4.962462,4.939584,4.916705,4.893826
76,5.351401,5.328522,5.305643,5.282764,5.259886,5.237007,5.214128,5.191250,5.168371,5.145492,5.122613,5.099735,5.076856,5.053977,5.031099,5.008220,4.985341,4.962462,4.939584,4.916705,4.893826
77,5.351401,5.328522,5.305643,5.282764,5.259886,5.237007,5.214128,5.191250,5.168371,5.145492,5.122613,5.099735,5.076856,5.053977,5.031099,5.008220,4.985341,4.962462,4.939584,4.916705,4.893826
78,5.351401,5.328522,5.305643,5.282764,5.259886,5.237007,5.214128,5.191250,5.168371,5.145492,5.122613,5.099735,5.076856,5.053977,5.031099,5.008220,4.985341,4.962462,4.939584,4.916705,4.893826
79,5.351401,5.328522,5.305643,5.282764,5.259886,5.237007,5.214128,5.191250,5.168371,5.145492,5.122613,5.099735,5.076856,5.053977,5.031099,5.008220,4.985341,4.962462,4.939584,4.916705,4.893826
80,5.351401,5.328522,5.305643,5.282764,5.259886,5.237007,5.214128,5.191250,5.168371,5.145492,5.122613,5.099735,5.076856,5.053977,5.031099,5.008220,4.985341,4.962462,4.939584,4.916705,4.893826
81,5.351401,5.328522,5.305643,5.282764,5.259886,5.237007,5.214128,5.191250,5.168371,5.145492,5.122613,5.099735,5.076856,5.053977,5.031099,5.008220,4.985341,4.962462,4.939584,4.916705,4.893826
82,5.351401,5.328522,5.305643,5.282764,5.259886,5.237007,5.214128,5.191250,5.168371,5.145492,5.122613,5.099735,5.076856,5.053977,5.031099,5.008220,4.985341,4.962462,4.939584,4.916705,4.893826
83,5.351401,5.328522,5.305643,5.282764,5.259886,5.237007,5.214128,5.191250,5.168371,5.145492,5.122613,5.099735,5.076856,5.053977,5.031099,5.008220,4.985341,4.962462,4.939584,4.916705,4.893826
84,5.351401,5.328522,5.305643,5.282764,5.259886,5.237007,5.214128,5.191250,5.168371,5.145492,5.122613,5.099735,5.076856,5.053977,5.031099,5.008220,4.985341,4.962462,4.939584,4.916705,4.893826
85,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
86,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
87,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
88,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
89,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
90,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
91,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
92,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
93,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
94,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
95,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
96,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
97,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
98,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
99,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
100,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
101,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
102,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
103,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
104,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
105,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
106,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
107,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
108,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
109,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
110,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
111,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
112,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
113,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
114,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
115,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
116,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
117,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
118,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
119,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
120,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
121,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
122,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
123,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
124,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
125,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
126,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
127,5.351401,5.395681,5.439385,5.482512,5.525062,5.567036,5.608433,5.649253,5.689497,5.729164,5.768254,5.806767,5.844704,5.882064,5.918847,5.955053,5.990683,6.025736,6.060213,6.094112,6.127435
