bar,vl_8,vl_9,vl_2,vl_7,vl_78
67,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
68,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
69,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
70,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
71,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
72,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
73,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
74,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
75,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
76,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
77,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
78,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
79,1.1188509874,1.1188509874,1.1188509874,1.1188509874,1.1188509874
80,1.1188509874,1.1188509874,1.1188509874,1.1188509874,1.1188509874
81,1.1188509874,1.1188509874,1.1188509874,1.1188509874,1.1188509874
82,1.1188509874,1.1188509874,1.1188509874,1.1188509874,1.1188509874
83,1.1188509874,1.1188509874,1.1188509874,1.1188509874,1.1188509874
84,1.1188509874,1.1188509874,1.1188509874,1.1188509874,1.1188509874
85,1.1188509874,1.1188509874,1.1188509874,1.1188509874,1.1188509874
86,1.1188509874,1.1188509874,1.1188509874,1.1188509874,1.1188509874
87,1.1188509874,1.1188509874,1.1188509874,1.1188509874,1.1188509874
88,1.1188509874,1.1188509874,1.1188509874,1.1188509874,1.1188509874
89,1.1188509874,1.1188509874,1.1188509874,1.1188509874,1.1188509874
90,1.1188509874,1.1188509874,1.1188509874,1.1188509874,1.1188509874
91,1.0330379855,1.0330379855,1.0330379855,1.0330379855,1.0330379855
92,1.0330379855,1.0330379855,1.0330379855,1.0330379855,1.0330379855
93,1.0330379855,1.0330379855,1.0330379855,1.0330379855,1.0330379855
94,1.0330379855,1.0330379855,1.0330379855,1.0330379855,1.0330379855
95,1.0330379855,1.0330379855,1.0330379855,1.0330379855,1.0330379855
96,1.0330379855,1.0330379855,1.0330379855,1.0330379855,1.0330379855
97,1.0330379855,1.0330379855,1.0330379855,1.0330379855,1.0330379855
98,1.0330379855,1.0330379855,1.0330379855,1.0330379855,1.0330379855
99,1.0330379855,1.0330379855,1.0330379855,1.0330379855,1.0330379855
100,1.0330379855,1.0330379855,1.0330379855,1.0330379855,1.0330379855
101,1.0330379855,1.0330379855,1.0330379855,1.0330379855,1.0330379855
102,1.0330379855,1.0330379855,1.0330379855,1.0330379855,1.0330379855
103,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
104,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
105,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
106,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
107,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
108,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
109,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
110,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
111,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
112,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
113,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
114,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
115,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
116,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
117,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
118,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
119,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
120,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
121,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
122,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
123,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
124,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
125,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
126,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
127,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
128,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
129,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
130,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
131,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
132,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
133,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
134,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
135,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
136,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
137,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
138,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
139,0.9308958040,0.9308958040,0.9308958040,0.9308958040,0.9308958040
140,1.1715383615,1.1715383615,1.1715383615,1.1715383615,1.1715383615
141,1.1715383615,1.1715383615,1.1715383615,1.1715383615,1.1715383615
142,1.1715383615,1.1715383615,1.1715383615,1.1715383615,1.1715383615
143,1.1715383615,1.1715383615,1.1715383615,1.1715383615,1.1715383615
144,1.1715383615,1.1715383615,1.1715383615,1.1715383615,1.1715383615
145,1.1715383615,1.1715383615,1.1715383615,1.1715383615,1.1715383615
146,1.1715383615,1.1715383615,1.1715383615,1.1715383615,1.1715383615
147,1.1715383615,1.1715383615,1.1715383615,1.1715383615,1.1715383615
148,1.1715383615,1.1715383615,1.1715383615,1.1715383615,1.1715383615
149,1.1715383615,1.1715383615,1.1715383615,1.1715383615,1.1715383615
150,1.1715383615,1.1715383615,1.1715383615,1.1715383615,1.1715383615
151,1.1715383615,1.1715383615,1.1715383615,1.1715383615,1.1715383615
152,1.1715383615,1.1715383615,1.1715383615,1.1715383615,1.1715383615
153,1.1715383615,1.1715383615,1.1715383615,1.1715383615,1.1715383615
154,1.0641623207,1.0641623207,1.0641623207,1.0641623207,1.0641623207
155,1.0641623207,1.0641623207,1.0641623207,1.0641623207,1.0641623207
156,1.0641623207,1.0641623207,1.0641623207,1.0641623207,1.0641623207
157,1.0641623207,1.0641623207,1.0641623207,1.0641623207,1.0641623207
158,1.0641623207,1.0641623207,1.0641623207,1.0641623207,1.0641623207
159,1.0641623207,1.0641623207,1.0641623207,1.0641623207,1.0641623207
160,1.0641623207,1.0641623207,1.0641623207,1.0641623207,1.0641623207
161,1.0641623207,1.0641623207,1.0641623207,1.0641623207,1.0641623207
162,1.0641623207,1.0641623207,1.0641623207,1.0641623207,1.0641623207
163,1.0641623207,1.0641623207,1.0641623207,1.0641623207,1.0641623207
164,1.0641623207,1.0641623207,1.0641623207,1.0641623207,1.0641623207
165,1.0641623207,1.0641623207,1.0641623207,1.0641623207,1.0641623207
166,1.0641623207,1.0641623207,1.0641623207,1.0641623207,1.0641623207
167,1.0641623207,1.0641623207,1.0641623207,1.0641623207,1.0641623207
168,1.0641623207,1.0641623207,1.0641623207,1.0641623207,1.0641623207
169,1.0641623207,1.0641623207,1.0641623207,1.0641623207,1.0641623207
170,1.0641623207,1.0641623207,1.0641623207,1.0641623207,1.0641623207
171,1.0641623207,1.0641623207,1.0641623207,1.0641623207,1.0641623207
172,1.1887186880,1.1887186880,1.1887186880,1.1887186880,1.1887186880
173,1.1887186880,1.1887186880,1.1887186880,1.1887186880,1.1887186880
174,1.1887186880,1.1887186880,1.1887186880,1.1887186880,1.1887186880
175,1.1887186880,1.1887186880,1.1887186880,1.1887186880,1.1887186880
176,1.1887186880,1.1887186880,1.1887186880,1.1887186880,1.1887186880
177,1.1887186880,1.1887186880,1.1887186880,1.1887186880,1.1887186880
178,1.1887186880,1.1887186880,1.1887186880,1.1887186880,1.1887186880
179,1.1887186880,1.1887186880,1.1887186880,1.1887186880,1.1887186880
180,1.1887186880,1.1887186880,1.1887186880,1.1887186880,1.1887186880
181,1.1887186880,1.1887186880,1.1887186880,1.1887186880,1.1887186880
182,1.1887186880,1.1887186880,1.1887186880,1.1887186880,1.1887186880
183,1.1887186880,1.1887186880,1.1887186880,1.1887186880,1.1887186880
184,1.1887186880,1.1887186880,1.1887186880,1.1887186880,1.1887186880
185,1.1887186880,1.1887186880,1.1887186880,1.1887186880,1.1887186880
186,1.1887186880,1.1887186880,1.1887186880,1.1887186880,1.1887186880
187,1.1887186880,1.1887186880,2.2450884852,1.1887186880,1.1887186880
188,1.1887186880,1.1887186880,2.2450884852,1.1887186880,1.1887186880
189,1.1887186880,1.7215897218,2.2450884852,1.7215897218,1.1887186880
190,1.5276477333,1.7215897218,2.2450884852,1.7215897218,1.1887186880
191,1.5276477333,1.7215897218,2.2450884852,1.7215897218,1.1887186880
192,1.5276477333,1.7215897218,2.2450884852,1.7215897218,1.1887186880
193,1.5276477333,1.7215897218,2.2450884852,1.7215897218,1.1887186880
194,1.5276477333,1.7215897218,2.2450884852,1.7215897218,1.1887186880
195,1.5276477333,1.7215897218,2.2450884852,1.7215897218,1.1887186880
196,1.5276477333,1.7215897218,2.2450884852,1.7215897218,1.1306082862
197,1.5276477333,1.7215897218,2.2450884852,1.7215897218,1.1306082862
198,1.5276477333,1.7215897218,2.2450884852,1.7215897218,1.1306082862
199,1.5276477333,1.7215897218,2.2450884852,1.7215897218,1.1306082862
200,1.5276477333,1.7215897218,2.2450884852,1.7215897218,1.1306082862
201,1.5276477333,1.7215897218,2.2450884852,1.7215897218,1.1306082862
202,1.5276477333,1.7215897218,2.2450884852,1.7215897218,1.1306082862
203,1.5276477333,1.7215897218,2.2450884852,1.7215897218,1.1306082862
204,1.5276477333,1.7215897218,2.2450884852,1.7215897218,1.1306082862
205,1.7349819896,1.9552460266,2.5497946952,1.9552460266,0.8594127020
206,1.7349819896,1.9552460266,2.5497946952,1.9552460266,0.8594127020
207,1.7349819896,1.9552460266,2.5497946952,1.9552460266,0.8594127020
208,1.7349819896,1.9552460266,2.5497946952,1.9552460266,0.8594127020
209,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
210,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
211,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
212,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
213,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
214,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
215,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
216,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
217,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
218,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
219,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
220,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
221,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
222,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
223,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
224,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
225,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
226,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
227,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
228,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
229,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
230,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
231,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
232,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
233,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
234,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
235,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
236,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
237,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
238,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
239,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
240,1.5919424008,1.7940468964,2.3395783432,1.7940468964,0.7885589178
241,2.6711986628,3.0103197631,3.9256938812,3.0103197631,1.3231618969
242,2.6711986628,3.0103197631,3.9256938812,3.0103197631,1.3231618969
243,2.6711986628,3.0103197631,3.9256938812,3.0103197631,1.3231618969
244,2.6711986628,3.0103197631,3.9256938812,3.0103197631,1.3231618969
245,2.6711986628,3.0103197631,3.9256938812,3.0103197631,1.3231618969
246,2.6711986628,3.0103197631,3.9256938812,3.0103197631,1.3231618969
247,2.6711986628,3.0103197631,3.9256938812,3.0103197631,1.3231618969
248,2.6711986628,3.0103197631,3.9256938812,3.0103197631,1.3231618969
249,2.6711986628,3.0103197631,3.9256938812,3.0103197631,1.3231618969
250,2.6711986628,3.0103197631,3.9256938812,3.0103197631,1.3231618969
251,2.6711986628,3.0103197631,3.9256938812,3.0103197631,1.3231618969
252,2.6711986628,3.0103197631,3.9256938812,3.0103197631,1.3231618969
253,2.6711986628,3.0103197631,3.9256938812,3.0103197631,1.3231618969
254,2.6711986628,3.0103197631,3.9256938812,3.0103197631,1.3231618969
255,2.6711986628,3.0103197631,3.9256938812,3.0103197631,1.3231618969
256,3.9168891130,4.4141564126,5.7564073531,4.4141564126,1.9402070317
257,3.9168891130,4.4141564126,5.7564073531,4.4141564126,1.9402070317
258,3.9168891130,4.4141564126,5.7564073531,4.4141564126,1.9402070317
259,3.9168891130,4.4141564126,5.7564073531,4.4141564126,1.9402070317
260,3.9168891130,4.4141564126,5.7564073531,4.4141564126,1.9402070317
261,3.9168891130,4.4141564126,5.7564073531,4.4141564126,1.9402070317
262,3.9168891130,4.4141564126,5.7564073531,4.4141564126,1.9402070317
263,3.9168891130,4.4141564126,5.7564073531,4.4141564126,1.9402070317
264,3.9168891130,4.4141564126,5.7564073531,4.4141564126,1.9402070317
265,3.9168891130,4.4141564126,5.7564073531,4.4141564126,1.9402070317
266,3.9168891130,4.4141564126,5.7564073531,4.4141564126,1.9402070317
267,3.9168891130,4.4141564126,5.7564073531,4.4141564126,1.9402070317
268,3.9168891130,4.4141564126,5.7564073531,4.4141564126,1.9402070317
269,3.9168891130,4.4141564126,5.7564073531,4.4141564126,1.9402070317
270,3.7687405595,4.2471997108,5.5386826746,4.2471997108,1.8668225531
271,3.7687405595,4.2471997108,5.5386826746,4.2471997108,1.8668225531
272,3.7687405595,4.2471997108,5.5386826746,4.2471997108,1.8668225531
273,3.7687405595,4.2471997108,5.5386826746,4.2471997108,1.8668225531
274,3.7687405595,4.2471997108,5.5386826746,4.2471997108,1.8668225531
275,3.7687405595,4.2471997108,5.5386826746,4.2471997108,1.8668225531
276,3.7687405595,4.2471997108,5.5386826746,4.2471997108,1.8668225531
277,3.7687405595,4.2471997108,5.5386826746,4.2471997108,1.8668225531
278,3.5826425614,4.0374757059,5.2651860671,4.0374757059,1.7746400496
279,3.5826425614,4.0374757059,5.2651860671,4.0374757059,1.7746400496
280,3.5826425614,4.0374757059,5.2651860671,4.0374757059,1.7746400496
281,3.5826425614,4.0374757059,5.2651860671,4.0374757059,1.7746400496
282,3.5826425614,4.0374757059,5.2651860671,4.0374757059,1.7746400496
283,3.5826425614,4.0374757059,5.2651860671,4.0374757059,1.7746400496
284,3.5826425614,4.0374757059,5.2651860671,4.0374757059,1.7746400496
285,3.5826425614,4.0374757059,5.2651860671,4.0374757059,1.7746400496
286,3.5826425614,4.0374757059,5.2651860671,4.0374757059,1.7746400496
287,3.5826425614,4.0374757059,5.2651860671,4.0374757059,1.7746400496
288,3.5826425614,4.0374757059,5.2651860671,4.0374757059,1.7746400496
289,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
290,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
291,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
292,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
293,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
294,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
295,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
296,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
297,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
298,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
299,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
300,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
301,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
302,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
303,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
304,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
305,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
306,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
307,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
308,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
309,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
310,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
311,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
312,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
313,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
314,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
315,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
316,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
317,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
318,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
319,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
320,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
321,2.1598770659,2.4340835101,3.1742364579,2.4340835101,1.0698818757
322,1.9049369147,2.1467775204,2.7995668365,2.1467775204,0.9435988332
323,1.9049369147,2.1467775204,2.7995668365,2.1467775204,0.9435988332
324,1.9049369147,2.1467775204,2.7995668365,2.1467775204,0.9435988332
325,1.9049369147,2.1467775204,2.7995668365,2.1467775204,0.9435988332
326,1.9049369147,2.1467775204,2.7995668365,2.1467775204,0.9435988332
327,1.9049369147,2.1467775204,2.7995668365,2.1467775204,0.9435988332
328,1.9049369147,2.1467775204,2.7995668365,2.1467775204,0.9435988332
329,1.9049369147,2.1467775204,2.7995668365,2.1467775204,0.9435988332
330,1.9049369147,2.1467775204,2.7995668365,2.1467775204,0.9435988332
331,1.9049369147,2.1467775204,2.7995668365,2.1467775204,0.9435988332
332,1.9049369147,2.1467775204,2.7995668365,2.1467775204,0.9435988332
333,1.9049369147,2.1467775204,2.7995668365,2.1467775204,0.9435988332
334,1.9049369147,2.1467775204,2.7995668365,2.1467775204,0.9435988332
335,1.9049369147,2.1467775204,2.7995668365,2.1467775204,0.9435988332
336,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
337,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
338,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
339,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
340,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
341,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
342,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
343,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
344,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
345,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
346,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
347,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
348,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
349,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
350,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
351,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
352,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
353,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
354,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
355,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
356,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
357,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
358,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
359,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
360,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
361,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
362,1.7111564881,1.9283957669,2.5147798434,1.9283957669,0.8476108858
363,1.7111564881,1.9283957669,2.4017560302,1.9283957669,0.8476108858
364,1.7111564881,1.9283957669,2.4017560302,1.9283957669,0.8476108858
365,1.7111564881,1.9283957669,2.4017560302,1.9283957669,0.8476108858
366,2.1738256158,2.4498028933,2.4017560302,2.4498028933,1.0767912044
367,2.1738256158,2.4498028933,2.4017560302,2.4498028933,1.0767912044
368,2.1738256158,2.4498028933,2.4017560302,2.4498028933,1.0767912044
369,2.1738256158,2.4498028933,2.4017560302,2.4498028933,1.0767912044
370,2.1738256158,2.4498028933,2.4017560302,2.4498028933,1.0767912044
371,2.1738256158,2.4498028933,2.4017560302,2.4498028933,1.0767912044
372,2.1738256158,2.4498028933,2.4017560302,2.4498028933,1.0767912044
373,2.1738256158,2.4498028933,2.4017560302,2.4498028933,1.0767912044
374,2.1738256158,2.4498028933,2.4017560302,2.4498028933,1.0767912044
375,2.1738256158,2.4498028933,2.4017560302,2.4498028933,1.0767912044
